Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086068,1999,11,33.0,Y
IDCJAC0002,086068,1999,12,24.9,Y
IDCJAC0002,086068,2000,01,25.4,Y
IDCJAC0002,086068,2000,02,30.5,Y
IDCJAC0002,086068,2000,03,26.4,Y
IDCJAC0002,086068,2000,04,22.1,Y
IDCJAC0002,086068,2000,05,16.2,Y
IDCJAC0002,086068,2000,06,13.9,Y
IDCJAC0002,086068,2000,07,13.9,Y
IDCJAC0002,086068,2000,08,15.3,Y
IDCJAC0002,086068,2000,09,17.2,Y
IDCJAC0002,086068,2000,10,18.5,Y
IDCJAC0002,086068,2000,11,23.7,Y
IDCJAC0002,086068,2000,12,26.5,Y
IDCJAC0002,086068,2001,01,30.3,Y
IDCJAC0002,086068,2001,02,29.7,Y
IDCJAC0002,086068,2001,03,25.2,Y
IDCJAC0002,086068,2001,04,20.6,Y
IDCJAC0002,086068,2001,05,16.8,Y
IDCJAC0002,086068,2001,06,15.3,Y
IDCJAC0002,086068,2001,07,14.2,Y
IDCJAC0002,086068,2001,08,15.0,Y
IDCJAC0002,086068,2001,09,18.8,Y
IDCJAC0002,086068,2001,10,18.6,Y
IDCJAC0002,086068,2001,11,20.6,Y
IDCJAC0002,086068,2001,12,21.6,Y
IDCJAC0002,086068,2002,01,25.6,Y
IDCJAC0002,086068,2002,02,25.3,Y
IDCJAC0002,086068,2002,03,24.3,Y
IDCJAC0002,086068,2002,04,22.0,Y
IDCJAC0002,086068,2002,05,18.1,Y
IDCJAC0002,086068,2002,06,15.1,Y
IDCJAC0002,086068,2002,07,14.9,Y
IDCJAC0002,086068,2002,08,15.5,Y
IDCJAC0002,086068,2002,09,18.1,Y
IDCJAC0002,086068,2002,10,20.5,Y
IDCJAC0002,086068,2002,11,24.0,Y
IDCJAC0002,086068,2002,12,25.4,Y
IDCJAC0002,086068,2003,01,28.3,Y
IDCJAC0002,086068,2003,02,27.0,Y
IDCJAC0002,086068,2003,03,24.3,Y
IDCJAC0002,086068,2003,04,20.8,Y
IDCJAC0002,086068,2003,05,18.2,Y
IDCJAC0002,086068,2003,06,14.6,Y
IDCJAC0002,086068,2003,07,14.1,Y
IDCJAC0002,086068,2003,08,14.2,Y
IDCJAC0002,086068,2003,09,16.5,Y
IDCJAC0002,086068,2003,10,16.9,Y
IDCJAC0002,086068,2003,11,23.3,Y
IDCJAC0002,086068,2003,12,27.1,Y
IDCJAC0002,086068,2004,01,25.1,Y
IDCJAC0002,086068,2004,02,26.5,Y
IDCJAC0002,086068,2004,03,24.2,Y
IDCJAC0002,086068,2004,04,21.2,Y
IDCJAC0002,086068,2004,05,16.4,Y
IDCJAC0002,086068,2004,06,14.2,Y
IDCJAC0002,086068,2004,07,13.1,Y
IDCJAC0002,086068,2004,08,15.5,Y
IDCJAC0002,086068,2004,09,16.4,Y
IDCJAC0002,086068,2004,10,20.3,Y
IDCJAC0002,086068,2004,11,21.8,Y
IDCJAC0002,086068,2004,12,24.5,Y
IDCJAC0002,086068,2005,01,27.0,Y
IDCJAC0002,086068,2005,02,23.8,Y
IDCJAC0002,086068,2005,03,23.5,Y
IDCJAC0002,086068,2005,04,24.1,Y
IDCJAC0002,086068,2005,05,18.0,Y
IDCJAC0002,086068,2005,06,15.8,Y
IDCJAC0002,086068,2005,07,14.3,Y
IDCJAC0002,086068,2005,08,15.6,Y
IDCJAC0002,086068,2005,09,17.5,Y
IDCJAC0002,086068,2005,10,20.9,Y
IDCJAC0002,086068,2005,11,24.0,Y
IDCJAC0002,086068,2005,12,27.4,Y
IDCJAC0002,086068,2006,01,28.6,Y
IDCJAC0002,086068,2006,02,25.7,Y
IDCJAC0002,086068,2006,03,26.6,Y
IDCJAC0002,086068,2006,04,18.7,Y
IDCJAC0002,086068,2006,05,15.7,Y
IDCJAC0002,086068,2006,06,13.4,Y
IDCJAC0002,086068,2006,07,13.8,Y
IDCJAC0002,086068,2006,08,15.9,Y
IDCJAC0002,086068,2006,09,19.0,Y
IDCJAC0002,086068,2006,10,21.7,Y
IDCJAC0002,086068,2006,11,23.3,Y
IDCJAC0002,086068,2006,12,26.0,Y
IDCJAC0002,086068,2007,01,28.4,Y
IDCJAC0002,086068,2007,02,30.5,Y
IDCJAC0002,086068,2007,03,25.9,Y
IDCJAC0002,086068,2007,04,22.9,Y
IDCJAC0002,086068,2007,05,19.1,Y
IDCJAC0002,086068,2007,06,13.1,Y
IDCJAC0002,086068,2007,07,13.1,Y
IDCJAC0002,086068,2007,08,16.4,Y
IDCJAC0002,086068,2007,09,18.2,Y
IDCJAC0002,086068,2007,10,21.6,Y
IDCJAC0002,086068,2007,11,25.1,Y
IDCJAC0002,086068,2007,12,27.1,Y
IDCJAC0002,086068,2008,01,28.9,Y
IDCJAC0002,086068,2008,02,25.4,Y
IDCJAC0002,086068,2008,03,27.8,Y
IDCJAC0002,086068,2008,04,20.7,Y
IDCJAC0002,086068,2008,05,16.4,Y
IDCJAC0002,086068,2008,06,14.9,Y
IDCJAC0002,086068,2008,07,13.4,Y
IDCJAC0002,086068,2008,08,13.6,Y
IDCJAC0002,086068,2008,09,18.7,Y
IDCJAC0002,086068,2008,10,21.8,Y
IDCJAC0002,086068,2008,11,22.8,Y
IDCJAC0002,086068,2008,12,23.3,Y
IDCJAC0002,086068,2009,01,29.6,Y
IDCJAC0002,086068,2009,02,28.4,Y
IDCJAC0002,086068,2009,03,24.5,Y
IDCJAC0002,086068,2009,04,20.5,Y
IDCJAC0002,086068,2009,05,17.2,Y
IDCJAC0002,086068,2009,06,14.7,Y
IDCJAC0002,086068,2009,07,14.4,Y
IDCJAC0002,086068,2009,08,16.1,Y
IDCJAC0002,086068,2009,09,17.9,Y
IDCJAC0002,086068,2009,10,19.6,Y
IDCJAC0002,086068,2009,11,27.8,Y
IDCJAC0002,086068,2009,12,25.9,Y
IDCJAC0002,086068,2010,01,27.6,Y
IDCJAC0002,086068,2010,02,28.7,Y
IDCJAC0002,086068,2010,03,26.0,Y
IDCJAC0002,086068,2010,04,22.3,Y
IDCJAC0002,086068,2010,05,17.4,Y
IDCJAC0002,086068,2010,06,13.6,Y
IDCJAC0002,086068,2010,07,13.6,Y
IDCJAC0002,086068,2010,08,13.6,Y
IDCJAC0002,086068,2010,09,15.5,Y
IDCJAC0002,086068,2010,10,20.2,Y
IDCJAC0002,086068,2010,11,23.0,Y
IDCJAC0002,086068,2010,12,24.6,Y
IDCJAC0002,086068,2011,01,26.5,Y
IDCJAC0002,086068,2011,02,24.9,Y
IDCJAC0002,086068,2011,03,22.9,Y
IDCJAC0002,086068,2011,04,20.5,Y
IDCJAC0002,086068,2011,05,15.4,Y
IDCJAC0002,086068,2011,06,14.8,Y
IDCJAC0002,086068,2011,07,13.8,Y
IDCJAC0002,086068,2011,08,16.4,Y
IDCJAC0002,086068,2011,09,18.5,Y
IDCJAC0002,086068,2011,10,20.3,Y
