Date,new cases,cumulative cases
01/22/2020,0,0
01/23/2020,0,0
01/24/2020,0,0
01/25/2020,3,3
01/26/2020,0,3
01/27/2020,1,4
01/28/2020,0,4
01/29/2020,0,4
01/30/2020,0,4
01/31/2020,0,4
02/01/2020,0,4
02/02/2020,0,4
02/03/2020,0,4
02/04/2020,0,4
02/05/2020,0,4
02/06/2020,0,4
02/07/2020,0,4
02/08/2020,0,4
02/09/2020,0,4
02/10/2020,0,4
02/11/2020,0,4
02/12/2020,0,4
02/13/2020,0,4
02/14/2020,0,4
02/15/2020,0,4
02/16/2020,0,4
02/17/2020,0,4
02/18/2020,0,4
02/19/2020,0,4
02/20/2020,0,4
02/21/2020,0,4
02/22/2020,0,4
02/23/2020,0,4
02/24/2020,0,4
02/25/2020,0,4
02/26/2020,0,4
02/27/2020,0,4
02/28/2020,0,4
02/29/2020,0,4
03/01/2020,2,6
03/02/2020,3,9
03/03/2020,6,15
03/04/2020,6,21
03/05/2020,4,25
03/06/2020,7,32
03/07/2020,2,34
03/08/2020,7,41
03/09/2020,13,54
03/10/2020,6,60
03/11/2020,16,76
03/12/2020,14,90
03/13/2020,19,109
03/14/2020,20,129
03/15/2020,38,167
03/16/2020,29,196
03/17/2020,64,260
03/18/2020,45,305
03/19/2020,56,361
03/20/2020,88,449
03/21/2020,122,571
03/22/2020,121,692
03/23/2020,177,869
03/24/2020,191,1060
03/25/2020,206,1266
03/26/2020,185,1451
03/27/2020,213,1664
03/28/2020,143,1807
03/29/2020,124,1931
03/30/2020,90,2021
03/31/2020,131,2152
04/01/2020,124,2276
04/02/2020,92,2368
04/03/2020,106,2474
04/04/2020,73,2547
04/05/2020,63,2610
04/06/2020,40,2650
04/07/2020,44,2694
04/08/2020,45,2739
04/09/2020,41,2780
04/10/2020,30,2810
04/11/2020,18,2828
04/12/2020,10,2838
04/13/2020,7,2845
04/14/2020,21,2866
04/15/2020,22,2888
04/16/2020,22,2910
04/17/2020,15,2925
04/18/2020,17,2942
04/19/2020,7,2949
04/20/2020,2,2951
04/21/2020,6,2957
04/22/2020,3,2960
04/23/2020,8,2968
04/24/2020,14,2982
04/25/2020,3,2985
04/26/2020,1,2986
04/27/2020,5,2991
04/28/2020,10,3001
04/29/2020,3,3004
04/30/2020,15,3019
05/01/2020,2,3021
05/02/2020,2,3023
05/03/2020,1,3024
05/04/2020,4,3028
05/05/2020,6,3034
05/06/2020,3,3037
05/07/2020,2,3039
05/08/2020,4,3043
05/09/2020,1,3044
05/10/2020,1,3045
05/11/2020,0,3045
05/12/2020,5,3050
05/13/2020,4,3054
05/14/2020,3,3057
05/15/2020,2,3059
05/16/2020,0,3059
05/17/2020,1,3060
05/18/2020,2,3062
05/19/2020,4,3066
05/20/2020,1,3067
05/21/2020,3,3070
05/22/2020,0,3070
05/23/2020,1,3071
05/24/2020,1,3072
05/25/2020,2,3074
05/26/2020,0,3074
05/27/2020,1,3075
05/28/2020,2,3077
05/29/2020,1,3078
05/30/2020,2,3080
05/31/2020,5,3085
06/01/2020,4,3089
06/02/2020,1,3090
06/03/2020,2,3092
06/04/2020,3,3095
06/05/2020,0,3095
06/06/2020,1,3096
06/07/2020,3,3099
06/08/2020,1,3100
06/09/2020,3,3103
06/10/2020,0,3103
06/11/2020,3,3106
06/12/2020,3,3109
06/13/2020,9,3118
06/14/2020,6,3124
06/15/2020,0,3124
06/16/2020,0,3124
06/17/2020,2,3126
06/18/2020,7,3133
06/19/2020,1,3134
06/20/2020,6,3140
06/21/2020,1,3141
06/22/2020,1,3142
06/23/2020,10,3152
06/24/2020,4,3156
06/25/2020,6,3162
06/26/2020,26,3188
06/27/2020,10,3198
06/28/2020,3,3201
06/29/2020,6,3207
06/30/2020,11,3218
07/01/2020,6,3224
07/02/2020,5,3229
07/03/2020,8,3237
07/04/2020,12,3249
07/05/2020,8,3257
07/06/2020,14,3271
07/07/2020,6,3277
07/08/2020,13,3290
07/09/2020,9,3299
07/10/2020,8,3307
07/11/2020,2,3309
07/12/2020,15,3324
07/13/2020,17,3341
07/14/2020,10,3351
07/15/2020,9,3360
07/16/2020,10,3370
07/17/2020,13,3383
07/18/2020,18,3401
07/19/2020,20,3421
07/20/2020,15,3436
07/21/2020,14,3450
07/22/2020,16,3466
07/23/2020,6,3472
07/24/2020,19,3491
07/25/2020,19,3510
07/26/2020,8,3518
07/27/2020,15,3533
07/28/2020,22,3555
07/29/2020,15,3570
07/30/2020,22,3592
07/31/2020,14,3606
08/01/2020,14,3620
08/02/2020,10,3630
08/03/2020,13,3643
08/04/2020,9,3652
08/05/2020,13,3665
08/06/2020,12,3677
08/07/2020,8,3685
08/08/2020,14,3699
08/09/2020,13,3712
08/10/2020,23,3735
08/11/2020,15,3750
08/12/2020,10,3760
08/13/2020,13,3773
08/14/2020,7,3780
08/15/2020,5,3785
08/16/2020,5,3790
08/17/2020,3,3793
08/18/2020,8,3801
08/19/2020,2,3803
08/20/2020,5,3808
08/21/2020,7,3815
08/22/2020,2,3817
08/23/2020,3,3820
08/24/2020,4,3824
08/25/2020,6,3830
08/26/2020,12,3842
08/27/2020,15,3857
08/28/2020,10,3867
08/29/2020,7,3874
08/30/2020,11,3885
