Date reported,New cases,cumulative cases
01/25/2020,0,0
01/26/2020,0,0
01/27/2020,0,0
01/28/2020,0,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
2/01/2020,0,0
2/02/2020,0,0
2/03/2020,0,0
2/04/2020,0,0
2/05/2020,0,0
2/06/2020,0,0
2/07/2020,0,0
2/08/2020,0,0
2/09/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,3,3
02/27/2020,0,3
02/28/2020,0,3
02/29/2020,0,3
3/01/2020,0,3
3/02/2020,0,3
3/03/2020,0,3
3/04/2020,2,5
3/05/2020,2,7
3/06/2020,0,7
3/07/2020,0,7
3/08/2020,0,7
3/09/2020,0,7
3/10/2020,0,7
3/11/2020,0,7
3/12/2020,6,13
03/13/2020,4,17
03/14/2020,3,20
03/15/2020,1,21
03/16/2020,9,30
03/17/2020,3,33
03/18/2020,5,38
03/19/2020,5,43
03/20/2020,8,51
03/21/2020,17,68
03/22/2020,33,101
03/23/2020,34,135
03/24/2020,36,171
03/25/2020,27,198
03/26/2020,38,236
03/27/2020,22,258
03/28/2020,30,288
03/29/2020,12,300
03/30/2020,6,306
03/31/2020,32,338
4/01/2020,30,368
4/02/2020,18,386
4/03/2020,11,397
4/04/2020,11,408
4/05/2020,2,410
4/06/2020,2,412
4/07/2020,4,416
4/08/2020,5,421
4/09/2020,1,422
4/10/2020,7,429
4/11/2020,1,430
4/12/2020,0,430
04/13/2020,2,432
04/14/2020,2,434
04/15/2020,0,434
04/16/2020,1,435
04/17/2020,1,436
04/18/2020,0,436
04/19/2020,0,436
04/20/2020,0,436
04/21/2020,2,438
04/22/2020,1,439
04/23/2020,0,439
04/24/2020,0,439
04/25/2020,0,439
04/26/2020,0,439
04/27/2020,0,439
04/28/2020,0,439
04/29/2020,0,439
04/30/2020,0,439
5/01/2020,0,439
5/02/2020,0,439
5/03/2020,0,439
5/04/2020,0,439
5/05/2020,0,439
5/06/2020,0,439
5/07/2020,1,440
5/08/2020,0,440
5/09/2020,0,440
5/10/2020,0,440
5/11/2020,0,440
5/12/2020,0,440
05/13/2020,0,440
05/14/2020,0,440
05/15/2020,0,440
05/16/2020,0,440
05/17/2020,0,440
05/18/2020,0,440
05/19/2020,0,440
05/20/2020,0,440
05/21/2020,0,440
05/22/2020,0,440
05/23/2020,0,440
05/24/2020,0,440
05/25/2020,0,440
05/26/2020,1,441
05/27/2020,0,441
05/28/2020,0,441
05/29/2020,0,441
05/30/2020,0,441
05/31/2020,0,441
6/01/2020,0,441
6/02/2020,0,441
6/03/2020,0,441
6/04/2020,0,441
6/05/2020,0,441
6/06/2020,0,441
6/07/2020,0,441
6/08/2020,0,441
6/09/2020,0,441
6/10/2020,0,441
6/11/2020,0,441
6/12/2020,0,441
06/13/2020,0,441
06/14/2020,0,441
06/15/2020,0,441
06/16/2020,0,441
06/17/2020,0,441
06/18/2020,0,441
06/19/2020,0,441
06/20/2020,0,441
06/21/2020,0,441
06/22/2020,0,441
06/23/2020,0,441
06/24/2020,0,441
06/25/2020,0,441
06/26/2020,0,441
06/27/2020,0,441
06/28/2020,0,441
06/29/2020,3,444
06/30/2020,0,444
7/01/2020,0,444
7/02/2020,0,444
7/03/2020,0,444
7/04/2020,0,444
7/05/2020,0,444
7/06/2020,0,444
7/07/2020,0,444
7/08/2020,0,444
7/09/2020,0,444
7/10/2020,0,444
7/11/2020,0,444
7/12/2020,0,444
07/13/2020,0,444
07/14/2020,0,444
07/15/2020,0,444
07/16/2020,1,445
07/17/2020,0,445
07/18/2020,0,445
07/19/2020,0,445
07/20/2020,0,445
07/21/2020,0,445
07/22/2020,2,447
07/23/2020,1,448
07/24/2020,0,448
07/25/2020,0,448
07/26/2020,0,448
07/27/2020,0,448
07/28/2020,1,449
07/29/2020,0,449
07/30/2020,1,450
07/31/2020,1,451
8/01/2020,1,452
8/02/2020,2,454
8/03/2020,2,456
8/04/2020,1,457
8/05/2020,0,457
8/06/2020,1,458
8/07/2020,2,460
8/08/2020,0,460
8/09/2020,0,460
8/10/2020,0,460
8/11/2020,0,460
8/12/2020,0,460
08/13/2020,0,460
08/14/2020,1,461
08/15/2020,0,461
08/16/2020,1,462
08/17/2020,1,463
08/18/2020,0,463
08/19/2020,0,463
08/20/2020,0,463
08/21/2020,0,463
08/22/2020,0,463
08/23/2020,1,464
08/24/2020,0,464
08/25/2020,0,464
08/26/2020,0,464
08/27/2020,0,464
08/28/2020,0,464
08/29/2020,0,464
08/30/2020,0,464
08/31/2020,0,464
9/01/2020,0,464
9/02/2020,0,464
9/03/2020,0,464
9/04/2020,0,464
9/05/2020,1,465
9/06/2020,0,465
9/07/2020,0,465
9/08/2020,1,466
9/09/2020,0,466
9/10/2020,0,466
9/11/2020,1,467
9/12/2020,0,467
09/13/2020,0,467
09/14/2020,0,467
09/15/2020,0,467
09/16/2020,0,467
09/17/2020,0,467
09/18/2020,0,467
09/19/2020,0,467
09/20/2020,0,467
09/21/2020,0,467
09/22/2020,0,467
09/23/2020,2,469
09/24/2020,0,469
09/25/2020,0,469
09/26/2020,0,469
09/27/2020,0,469
09/28/2020,0,469
09/29/2020,0,469
09/30/2020,0,469
10/01/2020,0,469
10/02/2020,2,471
10/03/2020,0,471
10/04/2020,1,472
10/05/2020,0,472
10/06/2020,2,474
10/07/2020,0,474
10/08/2020,0,474
10/09/2020,1,475
10/10/2020,0,475
10/11/2020,2,477
10/12/2020,0,477
10/13/2020,1,478
10/14/2020,3,481
10/15/2020,0,481
10/16/2020,0,481
10/17/2020,3,484
10/18/2020,2,486
10/19/2020,0,486
10/20/2020,0,486
10/21/2020,1,487
10/22/2020,0,487
10/23/2020,2,489
10/24/2020,0,489
10/25/2020,4,493
10/26/2020,3,496
10/27/2020,0,496
10/28/2020,1,497
10/29/2020,1,498
10/30/2020,1,499
