Day of Date,Active Cases
01/25/2020,1
01/26/2020,1
01/27/2020,1
01/28/2020,2
01/29/2020,2
01/30/2020,3
01/31/2020,4
2/01/2020,4
2/02/2020,4
2/03/2020,4
2/04/2020,4
2/05/2020,4
2/06/2020,4
2/07/2020,3
2/08/2020,3
2/09/2020,3
2/10/2020,3
2/11/2020,3
2/12/2020,3
02/13/2020,2
02/14/2020,2
02/15/2020,2
02/16/2020,2
02/17/2020,1
02/22/2020,2
02/23/2020,2
02/24/2020,2
02/25/2020,3
02/26/2020,1
02/27/2020,1
3/01/2020,2
3/02/2020,2
3/03/2020,2
3/04/2020,3
3/05/2020,3
3/06/2020,3
3/07/2020,4
3/08/2020,6
3/09/2020,9
3/10/2020,11
3/11/2020,16
3/12/2020,26
03/13/2020,41
03/14/2020,46
03/15/2020,52
03/16/2020,58
03/17/2020,93
03/18/2020,118
03/19/2020,138
03/20/2020,169
03/21/2020,194
03/22/2020,242
03/23/2020,281
03/24/2020,327
03/25/2020,364
03/26/2020,386
03/27/2020,465
03/28/2020,541
03/29/2020,504
03/30/2020,530
03/31/2020,520
4/01/2020,520
4/02/2020,504
4/03/2020,462
4/04/2020,424
4/05/2020,400
4/06/2020,379
4/07/2020,339
4/08/2020,291
4/09/2020,253
4/10/2020,240
4/11/2020,216
4/12/2020,189
04/13/2020,161
04/14/2020,134
04/15/2020,116
04/16/2020,104
04/17/2020,95
04/18/2020,95
04/19/2020,80
04/20/2020,80
04/21/2020,70
04/22/2020,64
04/23/2020,63
04/24/2020,59
04/25/2020,58
04/26/2020,51
04/27/2020,50
04/28/2020,47
04/29/2020,46
04/30/2020,49
5/01/2020,57
5/02/2020,65
5/03/2020,85
5/04/2020,93
5/05/2020,102
5/06/2020,112
5/07/2020,121
5/08/2020,125
5/09/2020,125
5/10/2020,116
5/11/2020,118
5/12/2020,114
05/13/2020,108
05/14/2020,119
05/15/2020,122
05/16/2020,110
05/17/2020,107
05/18/2020,96
05/19/2020,89
05/20/2020,85
05/21/2020,84
05/22/2020,83
05/23/2020,72
05/24/2020,59
05/25/2020,58
05/26/2020,62
05/27/2020,63
05/28/2020,64
05/29/2020,68
05/30/2020,69
05/31/2020,69
6/01/2020,74
6/02/2020,69
6/03/2020,68
6/04/2020,69
6/05/2020,66
6/06/2020,67
6/07/2020,65
6/08/2020,57
6/09/2020,56
6/10/2020,55
6/11/2020,49
6/12/2020,50
06/13/2020,47
06/14/2020,51
06/15/2020,59
06/16/2020,75
06/17/2020,85
06/18/2020,96
06/19/2020,115
06/20/2020,124
06/21/2020,130
06/22/2020,137
06/23/2020,145
06/24/2020,164
06/25/2020,183
06/26/2020,204
06/27/2020,238
06/28/2020,292
06/29/2020,326
06/30/2020,377
7/01/2020,428
7/02/2020,454
7/03/2020,515
7/04/2020,544
7/05/2020,618
7/06/2020,744
7/07/2020,837
7/08/2020,922
7/09/2020,1014
7/10/2020,1241
7/11/2020,1439
7/12/2020,1565
07/13/2020,1745
07/14/2020,1856
07/15/2020,2060
07/16/2020,2335
07/17/2020,2434
07/18/2020,2645
07/19/2020,2768
07/20/2020,2976
07/21/2020,3277
07/22/2020,3503
07/23/2020,3624
07/24/2020,3837
07/25/2020,4069
07/26/2020,4405
07/27/2020,4599
07/28/2020,4620
07/29/2020,5046
07/30/2020,5315
07/31/2020,5411
8/01/2020,5671
8/02/2020,5764
8/03/2020,5922
8/04/2020,6392
8/05/2020,6521
8/06/2020,6656
8/07/2020,6775
8/08/2020,6729
8/09/2020,6628
8/10/2020,6607
8/11/2020,6553
8/12/2020,6441
08/13/2020,6325
08/14/2020,6152
08/15/2020,5895
08/16/2020,5537
08/17/2020,5326
08/18/2020,5074
08/19/2020,4728
08/20/2020,4396
08/21/2020,4202
08/22/2020,3889
08/23/2020,3608
08/24/2020,3611
08/25/2020,3386
08/26/2020,3198
08/27/2020,3021
08/28/2020,2854
08/29/2020,2692
08/30/2020,2516
08/31/2020,2428
9/01/2020,2343
9/02/2020,2171
9/03/2020,2036
9/04/2020,1928
9/05/2020,1831
9/06/2020,1742
9/07/2020,1674
9/08/2020,1586
9/09/2020,1459
9/10/2020,1323
9/11/2020,1243
9/12/2020,1135
09/13/2020,1078
09/14/2020,1045
09/15/2020,1010
09/16/2020,966
09/17/2020,938
09/18/2020,835
09/19/2020,780
09/20/2020,739
09/21/2020,691
09/22/2020,622
09/23/2020,574
09/24/2020,531
09/25/2020,495
09/26/2020,450
09/27/2020,410
09/28/2020,377
09/29/2020,355
09/30/2020,340
10/01/2020,307
10/02/2020,294
10/03/2020,290
10/04/2020,275
10/05/2020,265
10/06/2020,258
10/07/2020,250
10/08/2020,247
10/09/2020,247
10/10/2020,247
10/11/2020,251
10/12/2020,247
10/13/2020,242
10/14/2020,235
10/15/2020,223
10/16/2020,213
10/17/2020,202
10/18/2020,198
10/19/2020,189
10/20/2020,177
10/21/2020,170
10/22/2020,165
10/23/2020,165
10/24/2020,100
