date,New cases
01/25/2020,1
01/26/2020,0
01/27/2020,0
01/28/2020,1
01/29/2020,0
01/30/2020,1
01/31/2020,1
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,2
02/19/2020,0
02/20/2020,0
02/21/2020,1
02/22/2020,0
02/23/2020,0
02/24/2020,2
02/25/2020,0
02/26/2020,0
02/27/2020,1
02/28/2020,0
02/29/2020,1
03/01/2020,1
03/02/2020,2
03/03/2020,3
03/04/2020,2
03/05/2020,5
03/06/2020,10
03/07/2020,15
03/08/2020,5
03/09/2020,7
03/10/2020,17
03/11/2020,37
03/12/2020,30
03/13/2020,33
03/14/2020,43
03/15/2020,46
03/16/2020,73
03/17/2020,56
03/18/2020,64
03/19/2020,58
03/20/2020,54
03/21/2020,106
03/22/2020,78
03/23/2020,54
03/24/2020,88
03/25/2020,58
03/26/2020,63
03/27/2020,59
03/28/2020,22
03/29/2020,29
03/30/2020,26
03/31/2020,33
04/01/2020,24
04/02/2020,13
04/03/2020,12
04/04/2020,24
04/05/2020,6
04/06/2020,8
04/07/2020,9
04/08/2020,4
04/09/2020,5
04/10/2020,7
04/11/2020,14
04/12/2020,13
04/13/2020,1
04/14/2020,5
04/15/2020,1
04/16/2020,1
04/17/2020,5
04/18/2020,3
04/19/2020,3
04/20/2020,1
04/21/2020,3
04/22/2020,3
04/23/2020,7
04/24/2020,5
04/25/2020,10
04/26/2020,11
04/27/2020,21
04/28/2020,14
04/29/2020,16
04/30/2020,15
05/01/2020,13
05/02/2020,12
05/03/2020,8
05/04/2020,5
05/05/2020,16
05/06/2020,7
05/07/2020,9
05/08/2020,19
05/09/2020,13
05/10/2020,5
05/11/2020,6
05/12/2020,7
05/13/2020,5
05/14/2020,5
05/15/2020,10
05/16/2020,9
05/17/2020,2
05/18/2020,2
05/19/2020,5
05/20/2020,8
05/21/2020,10
05/22/2020,6
05/23/2020,8
05/24/2020,8
05/25/2020,4
05/26/2020,9
05/27/2020,7
05/28/2020,8
05/29/2020,3
05/30/2020,1
05/31/2020,4
06/01/2020,2
06/02/2020,0
06/03/2020,4
06/04/2020,7
06/05/2020,5
06/06/2020,8
06/07/2020,10
06/08/2020,12
06/09/2020,9
06/10/2020,20
06/11/2020,18
06/12/2020,12
06/13/2020,25
06/14/2020,17
06/15/2020,13
06/16/2020,17
06/17/2020,18
06/18/2020,33
06/19/2020,28
06/20/2020,40
06/21/2020,47
06/22/2020,69
06/23/2020,61
06/24/2020,76
06/25/2020,73
06/26/2020,62
06/27/2020,100
06/28/2020,68
06/29/2020,98
06/30/2020,168
07/01/2020,122
07/02/2020,149
07/03/2020,143
07/04/2020,290
07/05/2020,256
07/06/2020,167
07/07/2020,248
07/08/2020,218
07/09/2020,295
07/10/2020,378
07/11/2020,212
07/12/2020,337
07/13/2020,262
07/14/2020,341
07/15/2020,436
07/16/2020,374
07/17/2020,287
07/18/2020,333
07/19/2020,409
07/20/2020,493
07/21/2020,358
07/22/2020,274
07/23/2020,626
07/24/2020,549
07/25/2020,368
07/26/2020,598
07/27/2020,352
07/28/2020,404
07/29/2020,687
07/30/2020,444
07/31/2020,421
08/01/2020,455
08/02/2020,374
08/03/2020,310
08/04/2020,321
08/05/2020,400
08/06/2020,256
08/07/2020,361
08/08/2020,301
08/09/2020,266
08/10/2020,266
08/11/2020,218
08/12/2020,208
08/13/2020,231
08/14/2020,170
08/15/2020,173
08/16/2020,202
08/17/2020,109
08/18/2020,146
08/19/2020,142
08/20/2020,110
08/21/2020,111
08/22/2020,90
08/23/2020,108
08/24/2020,71
08/25/2020,63
08/26/2020,87
08/27/2020,110
08/28/2020,75
08/29/2020,71
08/30/2020,62
08/31/2020,38
09/01/2020,48
09/02/2020,70
09/03/2020,47
09/04/2020,40
09/05/2020,35
09/06/2020,41
09/07/2020,30
09/08/2020,39
09/09/2020,41
09/10/2020,25
09/11/2020,45
09/12/2020,20
09/13/2020,13
09/14/2020,11
09/15/2020,28
09/16/2020,14
09/17/2020,11
09/18/2020,13
09/19/2020,12
09/20/2020,16
09/21/2020,5
09/22/2020,9
09/23/2020,10
09/24/2020,14
09/25/2020,5
09/26/2020,9
09/27/2020,10
09/28/2020,8
09/29/2020,14
09/30/2020,5
10/01/2020,9
10/02/2020,10
10/03/2020,14
10/04/2020,11
10/05/2020,14
10/06/2020,11
10/07/2020,5
10/08/2020,6
10/09/2020,2
10/10/2020,1
10/11/2020,2
10/12/2020,4
